company_name,high,low,last_price,prev_close,change,percent_gain
Welspun Corp,525.40,490.10,523.70,487.85,35.85,7.35
Quess Corp,499.00,476.00,492.90,464.80,28.1,6.05
Swan Energy,463.80,430.50,447.80,422.40,25.4,6.01
Global Health,958.00,925.00,955.00,902.80,52.2,5.78
Engineers India,145.75,138.60,145.15,137.70,7.45,5.41
BSE Limited,"2,168.50","2,100.00","2,115.95","2,010.75",105.2,5.23
Asahi India,584.60,570.00,583.50,558.60,24.9,4.46
IFB Industries,960.00,922.00,956.00,921.70,34.3,3.72
Power Finance,298.30,289.50,298.10,287.70,10.4,3.61
MMTC Ltd,54.25,51.95,53.55,51.70,1.85,3.58
Hind Copper,150.80,148.10,150.05,145.05,5,3.45
KFin Tech,530.35,514.30,528.30,511.05,17.25,3.38
Data Patterns,"1,896.05","1,860.00","1,893.25","1,832.60",60.65,3.31
Shyam Metalics,475.00,465.30,471.00,456.30,14.7,3.22
New India Assur,144.25,139.35,142.45,138.05,4.4,3.19
CDSL,"1,840.00","1,809.00","1,831.95","1,777.05",54.9,3.09
Sterling Wilson,289.00,276.40,287.00,278.60,8.4,3.02
Greenpanel Ind,333.00,322.00,332.20,322.85,9.35,2.9
Piramal Pharma,121.70,119.30,121.50,118.10,3.4,2.88
MOTHERSON,91.00,89.85,90.90,88.40,2.5,2.83
Amber Enterpris,"3,160.85","3,129.95","3,137.85","3,051.65",86.2,2.82
Biocon,236.00,230.00,233.75,227.40,6.35,2.79
NMDC Steel,41.55,41.00,41.50,40.40,1.1,2.72
AAVAS Financier,"1,519.90","1,495.00","1,508.80","1,468.95",39.85,2.71
CenturyPlyboard,665.00,646.80,652.95,635.95,17,2.67
MCX India,"2,704.80","2,626.00","2,673.55","2,603.90",69.65,2.67
PNC Infratech,325.90,320.00,324.50,316.05,8.45,2.67
GE Shipping,780.00,764.00,777.75,757.65,20.1,2.65
Lemon Tree,116.65,115.50,116.10,113.10,3,2.65
ZFCVINDIA,"16,839.15","16,610.05","16,820.00","16,387.35",432.65,2.64
Mahindra Life,521.95,511.05,519.85,506.70,13.15,2.6
KPIT Tech,"1,415.00","1,373.05","1,404.50","1,369.20",35.3,2.58
Coal India,336.70,328.25,331.70,323.40,8.3,2.57
Natco Pharma,787.00,775.35,785.90,766.55,19.35,2.52
Finolex Ind,195.30,192.30,194.50,189.80,4.7,2.48
CAMS,"2,495.00","2,463.15","2,485.00","2,425.40",59.6,2.46
Godrej Ind,691.00,676.00,684.70,668.25,16.45,2.46
Lakshmi Machine,"13,150.00","13,000.00","13,149.00","12,837.75",311.25,2.42
C. E. Info Syst,"2,125.00","2,080.05","2,107.00","2,057.55",49.45,2.4
eClerx Services,"2,238.00","2,160.20","2,203.00","2,151.90",51.1,2.37
Prism Johnson,157.95,154.00,156.80,153.30,3.5,2.28
NCC,157.40,155.00,156.80,153.35,3.45,2.25
JM Financial,83.00,82.30,82.85,81.05,1.8,2.22
United Brewerie,"1,618.80","1,575.25","1,610.00","1,575.25",34.75,2.21
Gujarat Pipavav,138.50,136.85,137.90,135.00,2.9,2.15
Archean Chem,539.80,532.00,538.40,527.10,11.3,2.14
Latent View,422.40,415.15,418.10,409.40,8.7,2.13
Anupam Rasayan,930.00,918.00,925.50,906.30,19.2,2.12
G R Infra,"1,169.90","1,113.00","1,130.30","1,106.85",23.45,2.12
RITES,449.00,445.25,448.05,438.75,9.3,2.12
JBM Auto,"1,220.00","1,201.05","1,218.00","1,193.10",24.9,2.09
PCBL,216.40,212.50,214.80,210.40,4.4,2.09
Polyplex Corp,"1,065.00","1,045.00","1,061.30","1,039.65",21.65,2.08
Campus Active,264.25,259.95,264.15,258.85,5.3,2.05
Zensar Tech,490.90,483.00,490.60,481.00,9.6,2
Indigo Paints,"1,539.00","1,525.35","1,533.00","1,502.95",30.05,2
Happiest Minds ,843.20,829.00,842.30,825.85,16.45,1.99
Rossari,730.75,715.95,730.10,715.85,14.25,1.99
Restaurant Bran,116.45,114.85,116.20,113.95,2.25,1.97
Go Fashion,"1,303.95","1,240.05","1,263.20","1,238.75",24.45,1.97
GMM Pfaudler,"1,722.45","1,687.00","1,719.15","1,686.05",33.1,1.96
BLS Internation,280.50,275.30,279.75,274.45,5.3,1.93
ITI,266.00,261.00,263.90,258.90,5,1.93
EID Parry,517.80,510.00,513.00,503.35,9.65,1.92
NMDC,172.75,170.40,171.90,168.70,3.2,1.9
Sun Pharma Adv,262.40,257.00,258.65,253.85,4.8,1.89
Rain Industries,147.20,145.00,146.80,144.10,2.7,1.87
SAIL,90.20,88.10,89.75,88.10,1.65,1.87
Bikaji Foods,527.90,519.45,525.40,515.80,9.6,1.86
Rajesh Exports,442.95,436.55,442.70,434.60,8.1,1.86
INDUS TOWERS,187.00,184.45,186.80,183.40,3.4,1.85
Home First,950.00,919.10,948.05,930.85,17.2,1.85
Triveni Engg,369.65,360.45,362.15,355.60,6.55,1.84
APTUS VALUE,308.40,304.35,305.95,300.45,5.5,1.83
Equitas Bank,97.45,96.25,97.15,95.40,1.75,1.83
Fine Organics,"4,302.25","4,247.00","4,301.65","4,224.45",77.2,1.83
JSW Energy,392.10,384.80,389.65,382.70,6.95,1.82
Jindal Stainles,484.60,474.85,483.25,474.60,8.65,1.82
Zomato,123.95,122.00,123.50,121.30,2.2,1.81
Brightcom Group,17.25,17.05,17.10,16.80,0.3,1.79
Intellect Desig,674.00,663.00,672.95,661.25,11.7,1.77
Ingersoll Rand,"2,954.35","2,900.00","2,943.60","2,892.35",51.25,1.77
Amara Raja,639.35,632.00,639.00,628.15,10.85,1.73
Tata Inv Corp,"3,268.50","3,215.25","3,249.85","3,194.95",54.9,1.72
Olectra Greente,"1,185.00","1,170.00","1,182.40","1,162.55",19.85,1.71
Bombay Burmah,"1,498.65","1,461.45","1,484.75","1,459.95",24.8,1.7
Indiabulls Hsg,173.00,170.10,170.75,167.90,2.85,1.7
Sonata,"1,347.40","1,325.00","1,340.00","1,317.85",22.15,1.68
Trident,37.00,36.50,36.80,36.20,0.6,1.66
Aether Ind,917.15,900.40,906.00,891.20,14.8,1.66
Narayana Hruda,"1,095.00","1,084.15","1,090.00","1,072.35",17.65,1.65
UPL,557.85,550.25,556.15,547.15,9,1.64
Vijaya Diagnost,649.10,632.05,640.40,630.10,10.3,1.63
