company_name,high,low,last_price,prev_close,change,percent_gain
Kirloskar Oil,939.90,833.65,918.10,831.85,86.25,10.37
ACME Solar,289.24,264.00,287.08,262.95,24.13,9.18
Lemon Tree,161.00,146.01,158.11,146.01,12.1,8.29
Campus Active,291.45,270.70,287.55,270.70,16.85,6.22
Capri Global,178.70,168.10,177.67,168.08,9.59,5.71
Capri Global,178.70,168.10,177.67,168.08,9.59,5.71
Glenmark,"1,920.00","1,813.10","1,904.00","1,818.80",85.2,4.68
Sagility India,45.47,43.02,44.68,42.88,1.8,4.2
ABSL AMC,854.90,818.00,850.30,817.20,33.1,4.05
Premier Energie,"1,118.90","1,079.00","1,115.80","1,074.10",41.7,3.88
UTI AMC,"1,429.00","1,345.50","1,394.40","1,344.20",50.2,3.73
One 97 Paytm,944.40,907.95,940.55,907.70,32.85,3.62
Olectra Greente,"1,260.00","1,201.50","1,244.70","1,203.80",40.9,3.4
Sammaan Capital,133.62,126.56,132.00,127.90,4.1,3.21
JSW Energy,536.60,515.45,530.55,514.90,15.65,3.04
RamkrishnaForge,687.50,660.05,683.25,663.15,20.1,3.03
Jaiprakash Pow,23.50,22.15,23.03,22.37,0.66,2.95
Prestige Estate,"1,702.90","1,651.00","1,696.50","1,650.00",46.5,2.82
Power Finance,432.45,422.30,429.45,417.75,11.7,2.8
AWL Agri,271.10,262.95,270.05,262.75,7.3,2.78
PCBL Chemical,437.30,425.00,434.40,423.70,10.7,2.53
IIFL Finance,522.50,505.25,520.90,508.55,12.35,2.43
BLS Internation,391.50,374.40,383.85,375.00,8.85,2.36
Indian Renew,170.16,167.00,169.64,165.91,3.73,2.25
Go Digit,346.80,335.00,342.00,334.50,7.5,2.24
Syrma SGS,682.50,647.65,663.20,649.65,13.55,2.09
JBM Auto,669.00,632.55,648.80,635.70,13.1,2.06
Container Corp,629.20,615.45,627.85,615.35,12.5,2.03
EID Parry,"1,116.10","1,075.20","1,109.80","1,087.80",22,2.02
Alivus Life,"1,040.00",999.00,"1,022.20","1,002.30",19.9,1.99
Jubilant Pharmo,"1,176.00","1,150.90","1,171.80","1,148.90",22.9,1.99
Emcure Pharmace,"1,294.40","1,265.10","1,283.00","1,258.20",24.8,1.97
Sarda Energy,443.90,422.80,441.50,433.20,8.3,1.92
Sarda Energy,443.90,422.80,441.50,433.20,8.3,1.92
Balrampur Chini,618.00,601.50,612.50,601.50,11,1.83
Rattanindia Ent,67.25,65.01,66.18,64.99,1.19,1.83
SBFC Finance,115.95,113.55,115.48,113.41,2.07,1.83
Global Health,"1,305.00","1,263.00","1,301.80","1,278.70",23.1,1.81
FSN E-Co Nykaa,218.43,211.11,217.14,213.37,3.77,1.77
Nippon,820.00,803.50,815.10,801.00,14.1,1.76
Chola Fin Hold,"2,127.80","2,003.40","2,116.40","2,080.00",36.4,1.75
Five-Star Busin,766.40,743.50,759.15,746.15,13,1.74
Engineers India,250.80,245.36,250.14,246.01,4.13,1.68
Waaree Energies,"3,181.00","3,125.00","3,170.60","3,119.50",51.1,1.64
Motilal Oswal,942.20,920.20,940.00,925.05,14.95,1.62
HEG,506.60,494.00,501.15,493.25,7.9,1.6
HEG,506.60,494.00,501.15,493.25,7.9,1.6
SignatureGlobal,"1,294.00","1,250.30","1,266.90","1,247.10",19.8,1.59
Valor Estate,245.12,239.50,242.33,238.56,3.77,1.58
Lodha Developer,"1,413.90","1,383.00","1,411.80","1,390.10",21.7,1.56
Kalyan Jeweller,590.00,577.90,587.80,578.80,9,1.55
Sterling Wilson,340.80,331.90,336.55,331.45,5.1,1.54
Manappuram Fin,266.60,262.80,265.50,261.50,4,1.53
REC,401.45,395.00,397.55,391.55,6,1.53
NALCO,189.24,186.02,188.95,186.23,2.72,1.46
IndusInd Bank,855.70,840.95,852.85,840.75,12.1,1.44
Maruti Suzuki,"12,670.00","12,401.00","12,650.00","12,470.00",180,1.44
Jubilant Ing.,819.80,806.55,813.05,801.65,11.4,1.42
Bombay Burmah,"1,985.90","1,943.00","1,974.30","1,946.90",27.4,1.41
Schneider Infra,840.00,820.10,836.70,825.10,11.6,1.41
IOC,152.65,150.00,152.33,150.25,2.08,1.38
Jyoti CNC Auto,"1,034.90","1,014.00","1,030.00","1,016.80",13.2,1.3
Godawari Power,184.99,181.52,184.44,182.10,2.34,1.29
Godawari Power,184.99,181.52,184.44,182.10,2.34,1.29
HDFC AMC,"5,233.50","5,141.50","5,207.50","5,141.00",66.5,1.29
EIH,383.00,376.20,380.90,376.15,4.75,1.26
Niva Bupa Healt,91.34,88.26,90.26,89.14,1.12,1.26
Blue Dart,"6,799.00","6,633.50","6,716.50","6,634.00",82.5,1.24
Anant Raj,563.50,548.50,554.40,547.70,6.7,1.22
Max Financial,"1,593.30","1,559.20","1,582.80","1,563.70",19.1,1.22
NMDC Steel,40.15,39.53,40.05,39.57,0.48,1.21
General Insuran,378.40,373.70,376.85,372.50,4.35,1.17
NMDC,68.99,68.09,68.69,67.90,0.79,1.16
eClerx Services,"3,421.40","3,338.60","3,410.30","3,372.00",38.3,1.14
Elgi Equipments,566.90,553.00,556.40,550.30,6.1,1.11
Bosch,"36,300.00","35,620.00","36,195.00","35,800.00",395,1.1
Swiggy,390.40,377.60,384.35,380.15,4.2,1.1
Route,"1,005.20",992.60,"1,001.00",990.20,10.8,1.09
Inox Wind,180.31,176.22,178.74,176.83,1.91,1.08
Apar Ind,"8,975.00","8,850.50","8,900.00","8,808.00",92,1.04
Tata Steel,161.55,159.28,160.66,159.00,1.66,1.04
APTUS VALUE,347.80,339.70,344.00,340.50,3.5,1.03
Sobha,"1,530.50","1,502.00","1,522.40","1,507.00",15.4,1.02
PVR INOX,"1,019.00",991.45,"1,011.90","1,001.80",10.1,1.01
Action Const,"1,219.00","1,200.00","1,212.00","1,200.10",11.9,0.99
Kajaria Ceramic,"1,201.70","1,167.30","1,195.40","1,183.90",11.5,0.97
Polycab,"6,809.00","6,690.50","6,781.00","6,716.00",65,0.97
Vodafone Idea,7.37,7.26,7.33,7.26,0.07,0.96
United Spirits,"1,385.30","1,368.20","1,384.00","1,370.90",13.1,0.96
Praj Industries,504.40,495.25,500.60,495.90,4.7,0.95
